index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
0,	94	67	10	113	45653	45	31081	12	12	3	1	13	26965	67491	218	708	0	
1,	95	97	99	221	31067	42	60772	42	37	32	2	25	48759	153840	396	9917	0	
2,	95	68	19	89	45262	44	27637	9	9	8	1	18	26629	67384	176	1002	0	
3,	97	17	0	17	48716	47	4364	0	0	0	0	1	4364	6619	34	0	2	
4,	95	32	17	51	45598	45	9386	6	6	5	1	10	7867	40786	96	1518	0	
5,	90	84	95	200	41569	43	48930	34	34	25	1	18	39262	123375	368	8731	0	
6,	96	42	0	42	48176	48	12900	0	0	0	0	4	12900	15988	84	0	1	
7,	96	41	8	49	47938	46	21242	2	2	2	1	4	19221	31530	98	2021	0	
8,	94	67	88	165	43860	41	47367	37	35	33	2	12	35760	110247	318	11369	0	
9,	93	88	53	149	44755	43	41768	21	21	18	1	17	38191	89686	280	3468	0	
10,	95	56	32	93	48014	46	28221	10	10	8	1	3	24660	44942	174	2936	0	
11,	97	10	21	31	47833	44	7717	3	3	3	1	6	3393	44015	58	4324	0	
12,	96	14	8	22	48937	48	4878	3	1	3	2	2	4046	5622	42	832	1	
13,	96	17	0	17	48588	47	5298	0	0	0	0	1	5298	6857	34	0	2	
14,	96	3	0	3	48367	48	0	0	0	0	0	1	0	1947	6	0	2	
15,	96	17	2	19	48449	47	4338	1	1	1	1	2	4139	8549	38	199	1	
16,	97	2	0	2	48667	48	0	0	0	0	0	1	0	1952	4	0	2	
17,	97	15	7	24	48203	46	5731	3	3	2	1	4	5312	23462	48	220	0	
18,	95	7	11	18	47207	48	2501	2	2	2	1	3	1247	12107	34	1254	1	
19,	96	4	0	4	48362	48	53	0	0	0	0	1	53	2240	8	0	2	
20,	97	2	0	2	48649	48	63	0	0	0	0	1	63	1991	4	0	2	
21,	97	3	0	3	48663	48	760	0	0	0	0	1	760	2459	6	0	2	
22,	97	2	0	2	48663	48	183	0	0	0	0	1	183	1873	4	0	2	
23,	97	11	0	11	48875	48	1164	0	0	0	0	1	1164	3519	22	0	2	
24,	96	13	3	16	47416	47	3620	1	1	1	1	3	3229	14849	32	391	1	
25,	97	3	0	3	48678	48	65	0	0	0	0	1	65	1992	6	0	2	
26,	95	21	10	31	47235	47	6163	3	3	3	1	4	4285	18936	58	1878	0	
27,	97	2	0	2	48645	48	51	0	0	0	0	1	51	1855	4	0	2	
28,	96	7	0	7	48389	49	622	0	0	0	0	1	622	2867	14	0	2	
29,	96	13	0	13	48527	48	1358	0	0	0	0	1	1358	644	26	0	2	
30,	96	7	2	9	48035	48	702	1	1	1	1	2	448	6592	18	254	1	
31,	96	6	0	6	48477	48	225	0	0	0	0	1	225	2034	12	0	2	
32,	96	12	2	14	48441	48	1444	1	1	1	1	1	1437	5445	28	7	2	
33,	97	6	0	6	48698	48	287	0	0	0	0	1	287	2693	12	0	2	
34,	97	12	2	14	48632	48	1549	1	1	1	1	2	1509	9924	28	40	1	
35,	97	2	0	2	48666	48	389	0	0	0	0	1	389	1619	4	0	2	
36,	96	13	2	15	47492	47	2095	1	1	1	1	3	2092	9744	30	3	1	
37,	96	17	29	51	47688	46	15346	11	10	9	2	4	12645	35624	98	2547	0	
38,	97	2	0	2	48645	48	152	0	0	0	0	1	152	1915	4	0	2	
39,	97	2	0	2	48680	48	292	0	0	0	0	1	292	2083	4	0	2	
40,	96	10	0	10	48267	48	726	0	0	0	0	2	726	4824	20	0	2	
41,	96	8	4	12	48229	46	2826	1	1	1	1	2	2440	8315	24	386	1	
42,	96	11	20	31	48197	47	4847	2	2	2	1	1	1842	4502	62	3005	1	
43,	95	18	8	26	47397	48	8374	2	2	2	1	4	7113	22107	52	1261	0	
44,	97	6	3	9	48655	48	1202	1	1	1	1	1	1153	4283	18	49	2	
45,	97	5	0	5	48694	48	841	0	0	0	0	1	841	2381	10	0	2	
46,	97	2	0	2	48649	48	0	0	0	0	0	1	0	1926	4	0	2	
47,	96	3	0	3	48381	47	2345	0	0	0	0	1	2345	3840	6	0	2	
48,	97	1	0	1	48645	48	0	0	0	0	0	1	0	1721	2	0	2	
49,	97	1	0	1	48645	48	0	0	0	0	0	1	0	1721	2	0	2	
50,	96	11	0	11	48526	47	2230	0	0	0	0	1	2230	4432	22	0	2	
51,	97	1	0	1	48645	48	0	0	0	0	0	1	0	1721	2	0	2	
52,	97	17	0	17	48467	47	4211	0	0	0	0	5	4211	14575	34	0	1	
53,	97	14	0	14	48745	47	5477	0	0	0	0	1	5477	7352	28	0	2	
54,	97	2	0	2	48645	48	0	0	0	0	0	1	0	1930	4	0	2	
55,	97	2	0	2	48689	48	418	0	0	0	0	1	418	1657	4	0	2	
56,	95	18	8	26	47389	48	8267	2	2	2	1	4	7871	18105	50	396	1	
57,	97	5	0	5	48645	48	491	0	0	0	0	2	491	4555	10	0	2	
